文本内容,识别结果,风险原因
0,通过,NA
1,通过,NA
2,通过,NA
3,通过,NA
4,通过,NA
5,通过,NA
6,通过,NA
7,拒绝,abuse:精液;porn:阴道
8,通过,NA
9,通过,NA
10,通过,NA
11,通过,NA
12,通过,NA
13,通过,NA
14,通过,NA
15,通过,NA
16,通过,NA
17,通过,NA
18,通过,NA
19,拒绝,politics:改革
20,通过,NA
21,拒绝,politics:民主
22,通过,NA
23,通过,NA
24,通过,NA
25,通过,NA
26,通过,NA
27,通过,NA
28,拒绝,politics:极权主义
29,拒绝,politics:中华人民共和国
30,通过,NA
31,通过,NA
32,通过,NA
33,通过,NA
34,通过,NA
35,通过,NA
36,通过,NA
37,通过,NA
38,通过,NA
39,通过,NA
40,通过,NA
41,通过,NA
42,通过,NA
43,通过,NA
44,拒绝,politics:中共中央办公厅-中共中央对外联络部
45,通过,NA
46,通过,NA
47,通过,NA
48,通过,NA
49,通过,NA
50,通过,NA
51,通过,NA
52,通过,NA
53,拒绝,porn:金瓶梅
54,拒绝,politics:宪政
55,通过,NA
56,通过,NA
57,拒绝,politics:习近平-共产党-国家主席
58,通过,NA
59,通过,NA
60,通过,NA
61,通过,NA
62,通过,NA
63,通过,NA
64,通过,NA
65,通过,NA
66,拒绝,politics:毛泽东
67,通过,NA
68,通过,NA
69,通过,NA
70,通过,NA
71,通过,NA
72,拒绝,politics:民主
73,通过,NA
74,通过,NA
75,通过,NA
76,通过,NA
77,通过,NA
78,通过,NA
79,通过,NA
80,通过,NA
81,通过,NA
82,通过,NA
83,拒绝,politics:民主
84,拒绝,politics:中共中央政治局-中共中央政治局常委会-全国政协-国务院总理-李克强
85,通过,NA
86,通过,NA
87,通过,NA
88,通过,NA
89,通过,NA
90,通过,NA
91,拒绝,politics:中央政治局-习近平总书记
92,通过,NA
93,通过,NA
94,通过,NA
95,通过,NA
96,通过,NA
97,通过,NA
98,通过,NA
99,拒绝,politics:中国共产党
100,通过,NA
101,通过,NA
102,通过,NA
103,通过,NA
104,拒绝,politics:改革
105,通过,NA
106,通过,NA
107,通过,NA
108,通过,NA
109,通过,NA
110,通过,NA
